Site,Mode,ModeFreq,Method
I40/0567-M1,96,0.99,Annual
I40/0568-M1,96,0.91,Annual
I40/0569-M1,96,0.91,Annual
I40/0570-M1,96,0.99,Annual
I40/0575-M1,96,0.99,Annual
I40/0594-M1,96,1,Annual
I40/0596-M1,96,0.99,Annual
I40/0601-M1,96,0.91,Annual
I40/0603-M1,96,0.15,Annual
I40/0603-M2,96,0.1,Annual
I40/0612-M1,96,0.89,Annual
I40/0626-M1,96,0.99,Annual
I40/0626-M2,96,0.99,Annual
I40/0626-M3,96,0.99,Annual
I40/0637-M1,96,0.95,Annual
I40/0638-M1,0,0.98,Annual
I40/0698-M1,96,0.96,Annual
I40/0699-M1,96,,Qtr4
I40/0708-M1,96,0.96,Annual
I40/0717-M1,96,0.98,Annual
I40/0721-M1,96,0.99,Annual
I40/0726-M1,96,0.98,Annual
I40/0745-M1,96,0.86,Annual
I41/0005-M1,96,0.99,Annual
I41/0050-M1,96,0.99,Annual
I41/0054-M1,96,0.99,Annual
I41/0056-M1,96,1,Annual
J36/0019-M1,96,0.69,Annual
J37/0050-M1,96,0.92,Annual
J37/0057-M1,96,0.92,Annual
J37/0139-M1,96,0.92,Annual
J37/0229-M1,96,0.92,Annual
J37/0239-M1,96,0.99,Annual
J37/0239-M2,96,0.99,Annual
J37/0239-M3,96,0.99,Annual
J37/0239-M4,96,0.99,Annual
J37/0250-M1,96,0.83,Annual
J37/0251-M1,96,0.99,Annual
J37/0252-M1,96,1,Annual
J37/0252-M2,96,1,Annual
J37/0253-M1,96,1,Annual
J37/0254-M1,96,0.73,Annual
J37/0255-M1,96,0.81,Annual
J37/0308-M1,96,0.92,Annual
J37/0321-M1,96,0.92,Annual
J38/0009-M1,96,0.97,Annual
J38/0023-M1,96,0.99,Annual
J38/0025-M1,96,0.93,Annual
J38/0026-M1,96,1,Annual
J38/0032-M1,96,0.99,Annual
J38/0053-M1,96,0.67,Annual
J38/0098-M1,96,0.69,Annual
J38/0105-M1,96,0.99,Annual
J38/0106-M1,96,0.96,Annual
J38/0113-M1,96,0.99,Annual
J38/0119-M1,96,0.68,Annual
J38/0121-M1,96,0.99,Annual
J38/0134-M1,96,0.43,Annual
J38/0138-M1,96,1,Annual
J38/0155-M1,24,0.99,Annual
J38/0165-M1,96,0.66,Annual
J38/0168-M1,96,0.95,Annual
J38/0174-M1,96,0.99,Annual
J38/0177-M1,96,0.51,Annual
J38/0181-M1,96,0.91,Annual
J38/0198-M1,96,0.99,Annual
J38/0200-M1,96,1,Annual
J38/0202-M1,96,0.64,Annual
J38/0203-M1,96,0.99,Annual
J38/0207-M1,96,0.99,Annual
J38/0216-M1,96,0.58,Annual
J38/0229-M1,96,0.99,Annual
J38/0246-M1,96,0.99,Annual
J38/0249-M1,96,1,Annual
J38/0276-M1,96,0.98,Annual
J38/0280-M1,96,0.8,Annual
J38/0284-M1,96,0.99,Annual
J38/0284-M2,96,0.99,Annual
J38/0288-M1,96,0.81,Annual
J38/0294-M1,96,0.75,Annual
J38/0309-M1,96,0.64,Annual
J38/0312-M1,96,0.99,Annual
J38/0323-M1,96,0.99,Annual
J38/0336-M1,96,0.81,Annual
J38/0349-M1,96,nan,Qtr3
J38/0359-M1,96,0.99,Annual
J38/0360-M1,96,0.81,Annual
J38/0401-M1,96,0.99,Annual
J38/0436-M1,96,0.8,Annual
J38/0488-M1,96,1,Annual
J38/0490-M1,96,0.62,Annual
J38/0492-M1,96,0.81,Annual
J38/0505-M1,96,0.64,Annual
J38/0505-M2,96,0.64,Annual
J38/0516-M1,96,1,Annual
J38/0551-M1,96,0.52,Annual
J38/0593-M1,96,0.99,Annual
J38/0610-M1,96,0.91,Annual
J38/0613-M1,96,0.88,Annual
J38/0621-M1,96,0.27,Annual
J38/0638-M1,96,1,Annual
J38/0675-M1,96,0.99,Annual
J38/0695-M1,96,0.99,Annual
J38/0706-M1,96,0.92,Annual
J38/0730-M1,96,0.99,Annual
J38/0753-M1,96,0.99,Annual
J38/0756-M1,96,0.67,Annual
J38/0757-M1,96,0.99,Annual
J38/0757-M2,96,0.99,Annual
J38/0757-M3,24,0.99,Annual
J38/0761-M1,96,0.72,Annual
J38/0767-M1,96,0.96,Annual
J38/0776-M1,96,0.83,Annual
J38/0777-M1,96,0.93,Annual
J38/0779-M1,96,0.94,Annual
J38/0780-M1,96,0.99,Annual
J38/0783-M1,96,0.84,Annual
J38/0784-M1,96,0.93,Annual
J38/0793-M1,96,0.99,Annual
J38/0793-M2,96,0.99,Annual
J38/0797-M1,96,1,Annual
J38/0797-M2,96,1,Annual
J38/0797-M3,24,1,Annual
J38/0799-M1,96,nan,Qtr2
J38/0800-M1,96,0.91,Annual
J38/0801-M1,96,0.99,Annual
J38/0808-M1,96,0.7,Annual
J38/0808-M2,96,,Qtr4
J38/0811-M1,96,0.99,Annual
J38/0856-M1,96,0.99,Annual
J38/0861-M1,96,0.8,Annual
J38/0871-M1,24,0.99,Annual
J38/0883-M1,96,0.69,Annual
J38/0890-M1,96,0.99,Annual
J38/0901-M1,96,0.99,Annual
J38/0908-M1,96,0.99,Annual
J38/0908-M2,96,,Qtr4
J38/0920-M1,96,0.99,Annual
J38/0948-M1,96,0.83,Annual
J38/0950-M1,96,0.96,Annual
J38/0952-M1,96,0.8,Annual
J38/0965-M1,96,0.93,Annual
J39/0049-M1,96,0.96,Annual
J39/0067-M1,96,0.9,Annual
J39/0072-M1,96,0.95,Annual
J39/0091-M1,96,0.92,Annual
J39/0120-M1,96,0.92,Annual
J39/0143-M1,96,0.99,Annual
J39/0146-M1,96,0.9,Annual
J39/0154-M1,96,0.93,Annual
J39/0202-M1,96,0.98,Annual
J39/0234-M1,96,0.87,Annual
J39/0236-M1,96,0.89,Annual
J39/0279-M1,96,0.93,Annual
J39/0280-M1,96,0.94,Annual
J39/0336-M1,96,0.58,Annual
J39/0339-M1,96,0.57,Annual
J39/0341-M1,96,0.96,Annual
